cellID,avg_intensity_dapi,nuclear_area,nuclear_perimeter,major_axis,minor_axis,axes_ratio,circularity,eccentricity,solidity,x_pos,y_pos,angle,imageID,avg_intensity_core_dapi,avg_intensity_internal_ring_dapi,avg_intensity_external_ring_dapi,total_intensity_core_dapi,total_intensity_internal_ring_dapi,total_intensity_external_ring_dapi,total_intensity_dapi,avg_intensity_beta3,total_intensity_beta3,avg_intensity_rfp,total_intensity_rfp,avg_intensity_ngn,total_intensity_ngn,beta3_x_rfp,beta3_x_ngn,rfp_x_ngn,beta3_x_rfp_x_ngn,dna_peaks,dna_dots,dna_dots_size_median,spatial_entropy,beta3_group,rfp_group,ngn_group
51,2057,110,39,12.9,10.9,0.845,0.914,0.534,0.98,1306,194,0.642,Snap-200,2325,1647,568,2403952,1272868,513130,4394955,940,2008362,791,1689957,284,606468,743540,266960,224644,211165360,9.0,8.0,1.314,3.815,2,3,3
52,2478,92,38,14.0,8.4,0.604,0.822,0.797,0.967,1785,194,0.803,Snap-200,3136,1757,633,2492584,1205224,423964,4438188,985,1763782,829,1483077,278,496606,816565,273830,230462,227005070,6.0,8.0,1.108,3.665,2,3,3
53,1992,122,42,15.7,10.0,0.632,0.853,0.775,0.975,243,202,1.415,Snap-200,2321,1407,521,2613440,928160,350831,4712539,687,1625016,649,1534165,244,576368,445863,167628,158356,108790572,8.0,7.0,2.886,3.756,1,2,2
54,1941,125,42,14.2,11.2,0.79,0.898,0.614,0.982,822,210,-0.48,Snap-200,2410,1388,532,2534474,1163950,514787,4694353,712,1719411,696,1682600,246,592834,495552,175152,171216,121905792,6.0,7.0,1.185,3.689,1,2,2
55,2439,179,56,22.2,10.6,0.479,0.71,0.878,0.939,1753,225,0.347,Snap-200,3043,1571,682,5165632,1649508,774402,8467438,984,3415515,892,3096079,276,955349,877728,271584,246192,242252928,13.0,8.0,0.876,3.548,2,3,3
56,2530,85,35,11.7,9.2,0.787,0.892,0.617,0.979,1383,202,1.242,Snap-200,3388,1566,607,2727093,1077043,499527,4152531,969,1589865,887,1455082,282,461732,859503,273258,250134,242379846,5.0,4.0,0.85,3.547,3,3,3
57,2104,112,41,15.2,9.4,0.617,0.848,0.787,0.977,762,219,-0.008,Snap-200,2277,1841,673,2354014,1459691,618277,4556396,987,2136886,811,1755877,272,589098,800457,268464,220592,217724304,9.0,7.0,1.185,3.771,2,3,2
58,2036,117,40,13.7,10.9,0.797,0.905,0.604,0.981,1054,215,-0.2,Snap-200,2282,1629,533,2571184,1299648,425326,4617422,920,2084736,933,2114374,284,643035,858360,261280,264972,243774240,8.0,6.0,2.164,3.768,2,3,3
59,2417,92,36,11.7,10.1,0.863,0.914,0.506,0.978,1236,214,-0.539,Snap-200,3041,1732,630,2432323,1212062,520544,4330609,1260,2257345,804,1439819,277,494651,1013040,349020,222708,280612080,3.0,4.0,1.829,3.629,3,3,3
60,1875,132,44,15.1,11.2,0.746,0.876,0.666,0.98,571,221,-0.53,Snap-200,2136,1462,531,2524712,1066755,377372,4814077,803,2059719,794,2038748,274,702449,637582,220022,217556,174697468,14.0,9.0,1.031,3.8,2,3,2
