cellID,avg_intensity_dapi,nuclear_area,nuclear_perimeter,major_axis,minor_axis,axes_ratio,circularity,eccentricity,solidity,x_pos,y_pos,angle,imageID,avg_intensity_core_dapi,avg_intensity_internal_ring_dapi,avg_intensity_external_ring_dapi,total_intensity_core_dapi,total_intensity_internal_ring_dapi,total_intensity_external_ring_dapi,total_intensity_dapi,avg_intensity_beta3,total_intensity_beta3,avg_intensity_rfp,total_intensity_rfp,avg_intensity_ngn,total_intensity_ngn,beta3_x_rfp,beta3_x_ngn,rfp_x_ngn,beta3_x_rfp_x_ngn,dna_peaks,dna_dots,dna_dots_size_median,spatial_entropy,beta3_group,rfp_group,ngn_group
110,1881,173,50,17.8,12.4,0.698,0.874,0.716,0.981,339,885,1.2796137434498291,Snap-120,2077,1494,439,3117137,1492343,495527,6319120,601,2018318,702,2358531,231,776371,421902,138831,162162,97459362,16,13,1.3397540000000001,3.801,1,1,0
111,2006,103,40,14.6,9.2,0.627,0.803,0.779,0.961,1866,910,1.3767763448602155,Snap-120,2357,1545,447,2064653,1226929,418175,4021351,695,1394177,674,1351836,213,426164,468430,148035,143562,99775590,13,11,1.1336380000000001,3.789,2,1,0
112,1769,124,43,15.4,10.4,0.674,0.845,0.739,0.98,712,918,1.3476297453000288,Snap-120,2095,1319,417,2465855,1122328,413635,4239608,829,1986362,775,1858231,238,571437,642475,197302,184450,152909050,9,10,1.8808085,3.762,2,1,1
113,1844,114,42,15.6,9.3,0.598,0.829,0.801,0.974,590,942,0.6753812233123861,Snap-120,2105,1481,430,2107062,1255659,423039,4085569,1171,2594036,5043,11174707,3568,7906740,5905353,4178128,17993424,21070299504,7,8,2.1642180000000004,3.758,3,3,2
114,2107,99,37,12.4,10.1,0.817,0.897,0.577,0.978,271,948,0.727049322418276,Snap-120,2705,1416,430,2345313,1041823,371144,4032637,627,1200782,937,1794167,220,421676,587499,137940,206140,129249780,10,10,1.1336380000000001,3.715,1,1,0
115,1331,29,23,9.2,4.4,0.476,0.691,0.879,0.986,1928,957,-0.06508604098909504,Snap-120,1430,1227,424,328958,341015,145737,752242,793,448109,719,406176,232,131302,570167,183976,166808,132278744,7,4,0.7471705000000001,3.924,2,1,1
116,1362,170,49,16.5,13.1,0.796,0.896,0.606,0.984,926,969,1.4958390304325389,Snap-120,1460,1170,372,2170427,1144496,413770,4501327,795,2626601,665,2198396,225,743801,528675,178875,149625,118951875,20,14,1.7519860000000003,3.87,2,1,0
117,2054,157,48,17.7,11.3,0.639,0.844,0.769,0.98,1241,979,-0.48028418283806257,Snap-120,2445,1553,450,3488643,1529695,503572,6266389,796,2428915,717,2187621,226,688038,570732,179896,162042,128985432,16,12,1.0821090000000002,3.684,2,1,0
118,1710,122,42,14.5,10.7,0.742,0.889,0.671,0.979,1799,989,-0.5960239925428812,Snap-120,1926,1398,440,1962240,1148834,418486,4045323,840,1985768,787,1861977,228,538327,661080,191520,179436,150726240,11,12,1.391283,3.845,2,1,0
119,1623,136,44,14.6,11.9,0.814,0.89,0.581,0.979,1156,1011,-1.1336386894402533,Snap-120,1791,1339,413,2186330,1166140,416150,4293812,657,1737917,775,2049735,222,587977,509175,145854,172050,113036850,15,11,1.391283,3.85,1,1,0
120,1594,46,31,12.9,4.8,0.375,0.616,0.927,0.977,8,1025,0.01779196024781934,Snap-120,1957,1213,413,776853,431717,175797,1438174,740,667534,648,584878,226,204296,479520,167240,146448,108371520,4,5,1.03058,3.737,1,1,0
121,1669,130,45,16.4,10.2,0.624,0.803,0.781,0.968,263,1025,1.1605491701552613,Snap-120,1863,1321,416,2248267,1201739,433096,4202119,581,1462052,932,2344929,220,554961,541492,127820,205040,119128240,10,11,1.3397540000000001,3.816,1,1,0
122,1674,127,42,13.9,11.6,0.829,0.907,0.559,0.983,1283,1026,1.3859781720641822,Snap-120,1820,1486,441,1989679,1244198,424071,4110908,891,2188319,817,2007470,225,553380,727947,200475,183825,163788075,13,11,1.54587,3.861,2,1,0
123,2396,83,34,11.3,9.4,0.836,0.887,0.549,0.971,1393,1022,-1.5224441414923646,Snap-120,2985,1676,462,2399990,1122643,377436,3876545,969,1568220,16371,26488003,5478,8863403,15863499,5308182,89680338,86900247522,3,4,2.8340950000000005,3.668,3,5,3
124,2122,98,38,14.1,9.0,0.635,0.835,0.772,0.979,113,1029,0.8617084886433928,Snap-120,2627,1611,451,2088304,1250466,407639,4034651,644,1224811,682,1296833,223,423888,439208,143612,152086,97943384,10,11,1.3397540000000001,3.692,1,1,0
125,1586,141,45,15.4,11.7,0.757,0.881,0.653,0.979,633,1045,-1.046657360952661,Snap-120,1796,1293,427,2257736,1170145,443955,4350467,829,2274872,1385,3799209,251,688187,1148165,208079,347635,288189415,12,12,2.2157470000000004,3.856,2,1,1
126,1501,149,46,15.9,11.9,0.75,0.87,0.662,0.978,504,1052,-0.6282984850873176,Snap-120,1750,1150,379,2373533,1070942,407455,4340371,645,1864904,804,2323033,227,657687,518580,146415,182508,117717660,15,13,1.54587,3.791,1,1,0
127,2271,90,35,11.5,9.9,0.864,0.915,0.504,0.98,1641,1056,0.24773489862881842,Snap-120,2801,1624,468,2156540,1112206,382233,3956651,745,1297332,682,1188453,215,375342,508090,160175,146630,109239350,6,6,1.1078735000000002,3.709,2,1,0
128,1687,130,43,14.0,11.9,0.852,0.903,0.523,0.979,1450,1068,0.6698156486190259,Snap-120,1913,1351,432,2201815,1137740,421964,4272685,814,2061274,4612,11678415,254,643280,3754168,206756,1171448,953558672,13,12,1.6746925000000001,3.823,2,1,1
129,4070,55,31,11.5,6.4,0.555,0.696,0.832,0.912,932,1065,1.4243268089679793,Snap-120,4674,3558,2043,2276412,2045878,1505459,4322290,1512,1605720,3487,3703700,474,503245,5272344,716688,1652838,2499091056,3,2,0.7471705000000001,3.563,3,2,1
130,1584,139,44,14.8,12.0,0.813,0.894,0.583,0.98,691,1083,-0.27256588195146464,Snap-120,1730,1305,428,2170697,1151209,434453,4273545,871,2350701,1697,4579554,250,674320,1478087,217750,424250,369521750,11,11,2.2672760000000003,3.863,2,1,1
131,1608,135,43,13.5,12.8,0.946,0.915,0.325,0.979,1893,1079,1.5551411130825112,Snap-120,1714,1403,434,2096773,1202136,430292,4225412,997,2618774,758,1991968,221,580656,755726,220337,167518,167015446,15,14,1.54587,3.878,3,1,0
132,1059,5,7,2.5,2.4,0.977,1.075,0.215,0.969,1263,1066,-0.32588648947364457,Snap-120,1133,1059,378,27185,98517,90647,98517,848,78864,866,80513,230,21354,734368,195040,199180,168904640,1,1,0.8244640000000001,3.953,2,1,1
133,2320,161,47,15.5,13.3,0.858,0.915,0.514,0.986,1515,1105,-0.3371549302283867,Snap-120,2711,1674,492,4209468,1594041,531356,7255323,875,2734860,1993,6232699,228,712319,1743875,199500,454404,397603500,14,11,1.391283,3.659,2,1,0
134,4707,48,28,10.4,6.0,0.571,0.76,0.821,0.942,940,1089,-1.3198573871605057,Snap-120,5755,3850,2133,2428773,1986702,1414176,4415475,1422,1333508,3510,3292042,463,434395,4991220,658386,1625130,2310934860,1,0,0.0,3.562,3,2,1
135,1520,146,45,15.2,12.3,0.81,0.911,0.587,0.986,567,1106,0.995314100068149,Snap-120,1737,1199,406,2338090,1085867,419081,4314745,754,2139751,1226,3478598,403,1144528,924404,303862,494078,372534812,11,12,1.4943410000000001,3.844,2,1,1
136,1867,116,42,14.9,10.0,0.668,0.836,0.745,0.976,1283,1118,-1.3551667465581225,Snap-120,2283,1364,464,2434173,1130506,446518,4200616,872,1961768,1407,3166048,245,550219,1226904,213640,344715,300591480,7,5,3.7100880000000003,3.682,2,1,1
137,1317,171,48,15.9,13.7,0.862,0.921,0.506,0.986,336,1155,1.151107675423493,Snap-120,1529,1058,378,2312019,1029852,417288,4364506,600,1988205,746,2473881,219,726933,447600,131400,163374,98024400,18,16,1.3655185,3.803,1,1,0
138,1755,127,45,17.0,9.5,0.56,0.793,0.828,0.975,1231,1156,1.5662004488546142,Snap-120,2032,1326,451,2464595,1151984,454744,4317021,1058,2603247,7132,17543589,1364,3355017,7545656,1443112,9728048,10292274784,11,11,1.391283,3.781,2,3,1
