"cellID","avg_intensity_dapi","nuclear_area","nuclear_perimeter","major_axis","minor_axis","axes_ratio","circularity","eccentricity","solidity","x_pos","y_pos","angle","imageID","avg_intensity_core_dapi","avg_intensity_internal_ring_dapi","avg_intensity_external_ring_dapi","total_intensity_core_dapi","total_intensity_internal_ring_dapi","total_intensity_external_ring_dapi","total_intensity_dapi","avg_intensity_beta3","total_intensity_beta3","avg_intensity_rfp","total_intensity_rfp","avg_intensity_ngn2","total_intensity_ngn2","dna_peaks","dna_dots","dna_dots_size_median","spatial_entropy","beta3_group","rfp_group","ngn2_group","experiment","path2ong"
11,2034,116,41,15.2,9.7,0.635,0.852,0.773,0.978,1053,747,0.023762742,"Snap-351",2263,1753,623,2453505,1427012,588411,4568993,1190,2673545,8982,20173718,9290,20865394,12,12,1.082109,3.793,3,5,4,"Day1","test"
18,1532,156,50,19.7,10.1,0.511,0.786,0.86,0.979,1590,714,-0.080627055,"Snap-352",1838,1053,326,2604705,1025994,359406,4623694,866,2615335,9708,29309354,7105,21450121,10,6,3.3236205,3.722,2,5,4,"Day1","test"
43,1668,157,48,16.5,12.2,0.739,0.871,0.674,0.979,1131,1032,0.391967069,"Snap-352",1965,1153,379,2957520,1085673,406187,5095523,818,2500344,7915,24179320,9202,28111700,10,10,1.597399,3.738,2,5,4,"Day1","test"
35,2215,102,38,12.6,10.4,0.825,0.901,0.565,0.978,945,766,-1.173710333,"Snap-354",2476,1882,550,2252710,1409494,483937,4377485,1000,1975284,6884,13602026,2467,4874012,13,11,1.442812,3.858,2,4,3,"Day1","test"
57,1761,136,45,16.1,10.8,0.673,0.859,0.739,0.978,1667,1174,-1.024179698,"Snap-354",2059,1227,406,2413399,1100199,422044,4655786,685,1811962,5212,13779643,7002,18512702,5,4,3.1175045,3.677,2,4,4,"Day1","test"
68,2701,77,33,11.7,8.5,0.721,0.875,0.693,0.976,1228,1383,1.11445883,"Snap-354",3469,1874,454,2432010,1234940,359412,4060052,1170,1757796,4886,7344030,3683,5535462,4,4,1.5716345,3.653,3,4,3,"Day1","test"
16,2071,244,66,24.5,13.6,0.556,0.707,0.831,0.932,779,176,0.870440797,"Snap-355",2680,1291,450,5725217,1786559,682497,9814965,1024,4851187,5560,26349602,5491,26023343,14,16,1.236696,3.592,2,5,4,"Day1","test"
104,1617,145,45,14.7,12.6,0.854,0.906,0.521,0.979,250,1012,-0.602285853,"Snap-355",1838,1176,372,2468298,1059646,383728,4552367,712,2005822,4030,11348680,3171,8930841,12,9,2.731037,3.829,2,4,3,"Day1","test"
52,1712,136,44,14.1,12.3,0.871,0.894,0.491,0.978,278,576,0.274809202,"Snap-356",1961,1295,644,2459516,1092688,628938,4504771,895,2356032,4567,12019066,1954,5143291,14,19,0.618348,3.822,2,4,3,"Day1","test"
70,1699,133,44,14.9,11.5,0.771,0.878,0.637,0.978,576,842,-1.384545896,"Snap-356",2087,1225,340,2398497,1066998,342223,4384614,1020,2631636,5441,14036740,2394,6176713,14,15,0.463761,3.765,2,4,3,"Day1","test"
